name,taxonomy/kingdom,taxonomy/phylum,taxonomy/class,taxonomy/order,taxonomy/family,taxonomy/genus,taxonomy/scientific_name,locations/0,characteristics/prey,characteristics/name_of_young,characteristics/group_behavior,characteristics/estimated_population_size,characteristics/biggest_threat,characteristics/most_distinctive_feature,characteristics/other_name(s),characteristics/gestation_period,characteristics/habitat,characteristics/diet,characteristics/average_litter_size,characteristics/lifestyle,characteristics/common_name,characteristics/number_of_species,characteristics/location,characteristics/slogan,characteristics/group,characteristics/color,characteristics/skin_type,characteristics/top_speed,characteristics/lifespan,characteristics/weight,characteristics/length,characteristics/age_of_sexual_maturity,characteristics/age_of_weaning,characteristics/litter_size,characteristics/predators,characteristics/type,characteristics/height,characteristics/distinctive_feature,characteristics/temperament,characteristics/training,locations/1,locations/2,locations/3,characteristics/wingspan,characteristics/incubation_period,characteristics/age_of_fledgling,characteristics/average_clutch_size,characteristics/venomous,characteristics/aggression,characteristics/main_prey,characteristics/water_type,characteristics/age_of_independence,characteristics/average_spawn_size,characteristics/nesting_location,characteristics/age_of_molting,characteristics/favorite_food,characteristics/origin,locations/4,characteristics/migratory,characteristics/optimum_ph_level,locations/5,locations/6,locations/7,characteristics/special_features,locations/8,locations/9
Ferret,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela furo,Europe,,,,,,,,,Forest and grasslands,Carnivore,4,Solitary,,,,Ferrets can be trained to do tricks like dogs!,,BrownGreyBlackTan,Fur,15 mph,7 - 10 years,0.7kg - 2kg (1.5lbs - 4lbs),40cm - 50cm (18in - 21in),,,,,Mammal,,Long thin body and large eyes,,,,,,,,,,,,"Mice, Rabbit, Gophers",,,,,,Mice,,,,,,,,,,
Ferruginous Hawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,Central-America,"Rodents, rabbits, hares, gophers, reptiles, amphibians, small birds, and insects",,,Tens of thousands,Loss of nesting sites,Rust-colored plumage,Ferruginous rough-leg hawk,,Open dry plains,Carnivore,,,Ferruginous hawk,1,North America,,,BrownRedBlackWhite,Feathers,150 mph,,2–4.5lbs,22-27 inches,,,,"Golden eagles, bobcats, and coyotes",Bird,,,,,North-America,,,4-5ft,A month,,,,,,,,,"Cliffs, trees, and other high structures",5-6 weeks,,,,1,,,,,,,
Fiddler Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,,,Africa,"Dead, decaying plants and animals, bacteria, algae, and fungus",,Colony,,Habitat loss,Enlarged claw on the male,,2 weeks,Sandy beaches and salt or brackish water,Omnivore,,,"Fiddler crab, Calling crab",106,,,,BrownGreyYellowBlueBlackPurple,Exoskeleton,,1 1/2 years,1.8 grams,"2"" or less",,,,"Egrets, herons, raccoons",Crustacean,,,,,Asia,Central-America,Europe,,,,,,,,Brackish,,,,,,,North-America,,7.2 to 8.2,Oceania,South-America,,,,
Field Spaniel,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,Europe,,,,,,,,,,Omnivore,,,Field Spaniel,,,A sociable and adaptable breed!,Gun Dog,,Hair,,14 years,23kg (50lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fierce Snake,Animalia,Chordata,Reptilia,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,Oceania,Rats and other small mammals,,,,,,,,,Carnivore,Dec-24,,Inland taipan,,,,,BrownBlack,,,10-15 years,,5 feet,,,,King brown snake,,,,,,,,,,,,,Yes,Low,,,,,,,,,,,,,,,,,
Fila Brasileiro,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,South-America,,Puppy,,,,,Brazilian Mastiff and Brazilian Molosser,,,Omnivore,,,Fila Brasileiro,,,,,YellowFawnRedBlackBrindleLight Grey,Hair,36 mph,9-12 years,,,,,2-5 puppies,,Mammal,,,Intense and loyal,,,,,,,,,,,,,,,,,,Brazil,,,,,,,,,
Fin Whale,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera Physalus,Ocean,,,,,,,,,Deep offshore waters,Carnivore,1,Herd,,,,Found throughout ocean waters worldwide!,,GreyBlueBlackWhite,Smooth,25 mph,50 - 60 years,"1,800kg - 70,000kg (4,000lbs - 150,000lbs)",6.5m - 24m (21ft - 79ft),,,,"Human, Large Sharks",Mammal,,Pointed snout and two blowholes on top of head,,,,,,,,,,,,"Krill, Fish, Squid",,,,,,Krill,,,,,,,,,,
Finnish Spitz,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,Finnish Spitz,,,Likes to bark a lot!,North,RedGold,Hair,,15 years,33lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Eel,Animalia,Chordata,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,Mastacembelus erythrotaenia,Asia,"bloodworms, shrimp, invertebrates, small fish",,,,Overfishing,Bright red stripes and snake-like appearance.,,A few days,"rivers, lakes",Omnivore,,,Fire Eel,,,,,BrownGreyRedOrange,Scales,,10 - 20 years (captive vs wild),,20 - 40 inches (captive vs wild),,,,,Fish,4 inches,,,,,,,,,,,,,,Fresh,,,,,,,,,6.8 - 7.6,,,,,,
Fire salamander,Animalia,Chordata,Amphibia,Urodela,Salamandridae,Salamandra,,Europe,,"Salamander nymphs, metamorphs",Solitary,Unknown,Bsal fungus,Striking colors,,60-150 days (2-5 months),Forests,Carnivore,,,Fire salamander,13,Central and Southern Europe,,,YellowRedBlackOrange,Permeable,,,40g (0.09lbs),15–30 cm (6-12 in) long,4-6 years,,20-75,Grass snakes,Amphibian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire-Bellied Toad,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,Bombina,Asia,,,,,,,,,"Forests, jungle and marshes",Carnivore,,Solitary,,,,Found across mainland Europe and Asia!,,BrownGreyYellowRedBlackGreenOrange,Permeable,5 mph,10 - 15 years,20g - 80g (0.7oz - 2.8oz),4cm - 7cm (1.5in - 3in),,,,"Foxes, Snakes, Birds",Amphibian,,Brightly coloured belly and long toes,,,Europe,,,,,,200,,,"Insects, Worms, Spiders",,,,,,Insects,,,,,,,,,,
Firefly,Animalia,Arthropoda,Insecta,Coleoptera,Lampyridae,,Lampyridae,Africa," Insects, snails, worms, nectar, and pollen",Larvae,Solitary,,Habitat loss and light pollution,The glowing abdomen,Lightning bug or glowworm,3-4 weeks,"Forests, fields, meadows, and other habitats",Omnivore,,,firefly,2003,,,,BrownYellowRedBlack,Exoskeleton,,1-2 years,20mg,up to one inch,1-2 years,,up to 100 eggs,"Birds, mammals, insects, and more",insect,,,,,Asia,Central-America,Eurasia,,,,,,,,,,,,,,,Europe,,,North-America,Oceania,South-America,,,
Fisher Cat,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Pekania,Pekania pennanti,North-America,"Rodents, hares, shrews, porcupines, birds, fruits, mushrooms, and nuts",Kits,Solitary,"1,00,000",Hunting and habitat loss,"The dense, luxurious coat of fur","Fisher, black cat, black fox, and pekan",10-12 months,Forests,Omnivore,,,Fisher Cat,1,North America,,,BrownBlackWhiteGoldSilver,Fur,,Up to 10 years,1.4-6.8kg (3-15lbs),50-63cm (20-25in),1-2 years,8-16 weeks,1-6 kits,"Bobcats, lynxes, foxes, and hawks",Mammal,Up to 30cm (12in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishing Cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Prionailurus viverrinus,Asia,"Fish, Shellfish, Snakes",Kitten,Solitary,"Less than 10,000",Habitat loss,"Long, stocky body and slightly webbed paws",,63 days,Variety of wetland habitats,Carnivore,2,Nocturnal,Fishing Cat,2,south-east Asia,Scoops fish out of the water using it's paw!,Mammal,BlackOlive-Grey,Fur,34 mph,10 - 12 years,5.5kg - 8kg (12lbs - 17.6lbs),57cm - 85cm (22.4in - 33.4in),9 - 10 months,4 - 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flamingo,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,,Africa,,,,,,,,,Large lakes and plant less lagoons,Omnivore,,Flock,,,,Sleeps on just one leg!,,BlueWhiteOrangePink,Feathers,31 mph,15 - 30 years,2kg - 4kg (4.4lbs - 8.8lbs),,,,,"Human, Eagles, Wild dogs",Bird,100cm - 150cm (39in - 59in),"Long, curved beak and sleep standing on one leg",,,Asia,Central-America,Eurasia,100cm - 180cm (59in - 71in),,,1,,,"Algae, Fish, Insects",,,,,,Algae,,Europe,,,North-America,South-America,,,,
Flat-Coated Retriever,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Europe,,,,,,,,,,Omnivore,,,Flat-Coated Retriever,,,A game retrieving gun-dog!,Gun Dog,,Hair,,12 years,32kg (70lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flea,Animalia,Arthropoda,Insecta,Siphonaptera,,,,Africa,,Larvae,Solitary,Unknown,None,The long legs,,A week,Mammal and bird hosts in various habitats,Carnivore,,,Flea,1998,Worldwide,,,BrownRedBlack,Exoskeleton,4.25 mph,A few months to a year,1mg,1.5-3.3mm (0.1in),3-4 weeks,,25-40 eggs per day,"Insects, spiders, lizards, snakes, and frogs",Insect,,,,,Asia,Central-America,Eurasia,,,,,,,,,,,,,Blood and other organic matter,,Europe,,,North-America,Oceania,South-America,,,
Florida Gar,Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus platyrhincus,North-America,,,School,Unknown,Habitat loss,Sharp teeth,Garpike,A few days,"Rivers, lakes, canals, and wetlands",Carnivore,,,Florida Gar,1,,,,BrownBlackWhiteGreen,,,Unknown,Up to 10lbs,Up to 1.3m (52in),,,,"Humans, alligators, and birds",Ray-finned fish,,,,,,,,,,,,,,"Fish, shrimp, and crayfish",,,,,,,,,,,,,,,,
Florida Panther,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor couguar,North-America,white-tail deer,kittens,Solitary,125,Man,Crooked tail,"Florida mountain lion, Florida cougar, Florida puma",92-96 days,"Forests, wetlands, and grasslands",Carnivore,,,Florida panther,1,Southeast U.S.,,Solitary,WhiteTan,Hair,25 mph,,45kg-73kg (100lbs-160lbs),1.8m – 2.3m (6ft-7.5ft),18 –36 months,3-4 months,01-Mar,Man,Mammals,0.6m- 0.7m(24in-28in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Woods Cockroach,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Blattella,Eurycotis floridana,North-America,Decaying plant and animal matter,Nymph,Colony,,Extermination by humans,"Flattened, egg shaped body","Palmetto bug, Florida stinkroach, skunkroach",48 days,,Omnivore,,,Palmetto bug,1,North America,,Cockroach,Brown,Exoskeleton,3 mph,12-15 months,0.105 g,1.5 in,100-120 days,,12-24 eggs per egg case,,Insect,0.25 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flounder,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys,Ocean,"Shrimp, crabs, and other fish",,Solitary,Perhaps some 30 million,Overfishing,The flat body,Flatfish,A few weeks,"Coastal waters near docks, bridges, or reefs",Carnivore,,,Flounder,,,A flat fish found in the Atlantic and Pacific!,,BrownBlueWhiteTanGreenOrange,Scales,,Three to 10 years on average,Up to 22 pounds,Up to 37 inches,,,,"Sharks, eels, and humans",Fish,,,,,,,,,,,,,,,Salt,,,,,Small Fish,,,,6.5 - 8.0,,,,,,
Flowerhorn Fish,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,,,Asia,"Shrimp, worms, insects, and plant matter",Larvae and fry,Solitary,Unknown,None,The bulbous skin on the forehead,Flowerhorn Cichlid,1 - 2 weeks,Freshwater,Omnivore,,,Flowerhorn Fish,1,Worldwide,,,RedBlueBlackWhiteGreenOrange,Scales,,Up to 12 years,About 0.5kg (1lb),Up to 40cm (16in),Up to a year,A few days,,Larger fish,Ray-finned fish,,,,,North-America,,,,,,,,,,,,"Up to 1,000 at a time",,,,,,,,,,,,,
Fluke Fish (summer flounder),Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys dentatus,Ocean,"Crabs, squid, shrimp, forage fish such as anchovies, and even smaller flounders!",,,,,,,,Near shore during summers and offshore during fall and winter,Omnivore,,,Fluke and Summer Flounders,,Off the U.S. and Canadian Atlantic Coast,The chameleon of the seas!,Flatfish,Brown,Hair,,Up to 14 years,Rarely exceeds 20 pounds,Females grow up to 3 feet,No later than 3 years,,,"Monkfish, sharks, rays",,,,,,,,,,,,,,,,,,Up to 4 million,,,,,,,,,,,Can change color and texture like a chameleon!,,
Fly,Animalia,Arthropoda,Insecta,Diptera,,,,Africa,,,,,,,,,Close to organic waste,Omnivore,50,,Fly,240000,Worldwide,"There are more than 240,000 different species!",,BrownBlueBlack,Hair,,,,,,,,"Frogs, Fish, Lizards",,,,,,Antarctica,Asia,Central-America,,,,,,,"Nectar, Sap, Blood",,,,,,Nectar,,Eurasia,,,Europe,North-America,Ocean,,Oceania,South-America
Flying Fish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,,Ocean,"Plankton, crustaceans, and fish",,School,Unknown,Overfishing,Wing-like fins,Flying cod,Varies,Oceans,Omnivore,,,Flying fish,40,,,,BlueBlackWhiteSilver,Scales,35 mph,5 years on average,Up to 2lbs,15cm – 51cm (6in – 20in),,,,"Marlins, tuna, squid, porpoises, birds, and humans",Ray fin fish,,,,,,,,,,,,,,,Salt,,,,,,,,,,,,,,,
Flying Lemur,Animalia,Chordata,Mammalia,Dermoptera,Cynocephalidae,,,Asia,Insects,Infant,Mainly solitary,"1,01,000","Habitat destruction, hunting",Its ability to glide,"Colugo, cobego, flying cat, kagwang","60 days for the Sunda, 105 days for the Philippine",Tropical rain forests,Herbivore,,,Flying lemur,2,Southeast Asia,,Can form small groups,BrownGreyRedBlackWhite,Fur,22.5 mph,About 15 to 17.5 years in captivity,Sunda: 2 to 4.5 pounds; Philippine 2.2 to 3.85 pounds,"Sunda 19.88 to 27.17 inches; Philippine, 13 to 15 inches",2 to 3 years,6 months,1 or 2,"Humans, snakes, Philippine eagle",Mammal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flying Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Chrysopelea,Chrysopelea ornata,Asia," Rodents, bats, birds, and their eggs, frogs, smaller snakes and lizards","Hatchlings, snakelets",,,,,,,In the forests and jungles of western India and east to Indonesia,Omnivore,,,,8,,,,RedBlackGoldGreen,Scales,,10 years,1.2 to 2 pounds,2 to 4 feet,,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,
Flying Squirrel,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Pteromyini,Pteromyini,Asia,,,,,,,,,Forest and woodland,Omnivore,4,Solitary,,,,Can glide up to 90 meters!,,BrownGreyBlackWhiteTan,Fur,15 mph,5 - 8 years,56g - 175g (2oz - 6oz),,,,,"Cats. Coyote, Raccoon",Mammal,20cm - 30cm (8in - 12in),Small body size and furry glide membrane,,,Central-America,Eurasia,Europe,,,,,,,"Nuts, Berries, Eggs",,,,,,Nuts,,North-America,,,South-America,,,,,
